"#","User ID","Email ID","Role","Company","City","Site"
"1","6","rudresh64434@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"2","7","abhi@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"3","8","ankit@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"4","9","vivo@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"5","10","neem@amazon.in","supervisor","AMAZON INDIA","Delhi","MP"
"6","11","daad@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"7","12","at@amazon.in","supervisor","AMAZON INDIA","Delhi","dewas"
"8","13","rudra@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"9","14","prince@amazon.in","supervisor","AMAZON INDIA","Delhi","bombay"
"10","15","qwert@amazon.in","supervisor","AMAZON INDIA","Delhi","ban"
"11","16","vj@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"12","17","cg@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"13","18","bokare.verve@amazon.com","supervisor","AMAZON INDIA","Delhi","INdia"
"14","19","rudresh@amazon.in","supervisor","AMAZON INDIA","Delhi","ujjain"
"15","21","yyu@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"16","22","newuser@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"17","23","ramesh@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"18","28","gggg@amazon.in","supervisor","AMAZON INDIA","Delhi","ji"
"19","29","newtest@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"20","41","akshay@amazon.in","supervisor","AMAZON INDIA","Chennai","Gujrat"
"21","63","kartik@amazon.com","Operation Manager","AMAZON INDIA","Delhi","database"
"22","64","huihui@amazon.com","supervisor","AMAZON INDIA","Delhi","Gujrat"
"23","65","pubg@amazon.com","Operation Manager","AMAZON INDIA","Delhi","Gujrat"
"24","66","callofduty@amazon.com","supervisor","AMAZON INDIA","Delhi","indore"
"25","67","pubgindia@amazon.in","supervisor","AMAZON INDIA","Delhi","delhi"
"26","69","teachar_admin@amazon.com","supervisor","AMAZON INDIA","Delhi","blr"
"27","70","karthik@amazon.com","supervisor","AMAZON INDIA","Delhi","Del1"
"28","71","pokemon@amazon.com","supervisor","AMAZON INDIA","Delhi","Ahemdabad"
"29","75","pokeman@amazon.com","supervisor","AMAZON INDIA","Delhi","Mum01"
"30","93","mayurom@amazon.com","Operation Manager","AMAZON INDIA","",""
"31","94","aks@amazon.in","supervisor","AMAZON INDIA","Delhi","delhi"
"32","96","abc@amazon.com","supervisor","AMAZON INDIA","Delhi","Mum01"
"33","97","rudresh@amazon.com","supervisor","AMAZON INDIA","Delhi","Gujrat"
"34","98","akshaytest@amazon.com","supervisor","AMAZON INDIA","Delhi","Gujrat"
"35","113","abb@amazon.com","supervisor","AMAZON INDIA","Delhi","Bangalore1"
"36","125","admin@mailinator.com","Super Admin","AMAZON INDIA","",""
"37","127","akshay2@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"38","130","nj@amazon.com","supervisor","AMAZON INDIA","Delhi","Gujrat"
"39","131","vikas@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujarat"
"40","132","nj@amazon.in","supervisor","AMAZON INDIA","Delhi","Gujrat"
"41","133","cg@amazon.com","supervisor","AMAZON INDIA","Delhi","Gujrat"
"42","134","lastone@amazon.com","supervisor","AMAZON INDIA","Delhi","indore"
"43","135","done@amazon.com","supervisor","AMAZON INDIA","Delhi","bhopal"
"44","136","lol@amazon.in","supervisor","AMAZON INDIA","Delhi","test"
"45","137","qwerty@amazon.com","supervisor","AMAZON INDIA","Delhi","MP"
